구,동,아파트명,평수,실거래가,기준연월일
강남구,압구정동,신현대,35평,62억,2025.06.12
강남구,압구정동,현대13차,35평,63억,2025.06.12
강남구,신사동,논현신동아,31평,19.2억,2025.06.12
강남구,청담동,청담르엘,34평,52억,2025.06.12
강남구,청담동,아크로힐스,33평,25.2억,2025.06.12
강남구,삼성1동,아크로삼성,35평,52억,2025.06.12
강남구,삼성1동,래미안라클래시,34평,40억,2025.06.12
강남구,대치2동,한보미도,34평,35억,2025.06.12
강남구,역삼2동,강센아,33평,33.5억,2025.06.12
강남구,도곡1동,도곡렉슬,33평,35.7억,2025.06.12
강남구,도곡2동,래대팰,34평,40.7억,2025.06.12
강남구,역삼2동,역삼럭키,33평,23.7억,2025.06.12
강남구,개포4동,개래포,35평,32억,2025.06.12
강남구,개포1동,디퍼아,33평,35억,2025.06.12
강남구,개포2동,개자프,33평,39억,2025.06.12
강남구,일원1동,루체하임,34평,35억,2025.06.12
강남구,일원본동,일원가람,30평,27.8억,2025.06.12
강남구,수서동,수서1,25평,13억,2025.06.12
강남구,세곡동,삼익,34평,21.5억,2025.06.12
강남구,세곡동,래미안강남힐즈,36평,20.3억,2025.06.12
서초구,반포본동,트리니원,33평,27.49억,2026.02.20
서초구,반포2동,원베일리,34평,72억,2026.02.20
서초구,반포3동,신반포2차,35평,61.5억,2026.02.20
서초구,잠원동,메이플자이,33평,56.5억,2026.02.20
서초구,반포1동,반포자이,35평,52억,2026.02.20
서초구,서초4동,반포미도1차,33평,41.8억,2026.02.20
서초구,서초4동,삼풍,32평,37억,2026.02.20
서초구,서초2동,서초그랑자이,34평,42억,2026.02.20
서초구,서초3동,서초센트럴아이파크,31평,21억,2026.02.20
서초구,서초1동,래미안1차,32평,25억,2026.02.20
서초구,방배본동,신삼호,34평,34억,2026.02.20
서초구,방배1동,서리풀이편한,33평,29억,2026.02.20
서초구,방배2동,디에이치방배,33평,34억,2026.02.20
서초구,방배3동,원페를라,34평,37.5억,2026.02.20
서초구,방배3동,방배그랑자이,33평,34억,2026.02.20
서초구,양재1동,양재우성,30평,22.5억,2026.02.20
서초구,내곡동,포레스타5,34평,19.95억,2026.02.20
서초구,,래미안원베일리,95평,165억,2026.02.20
서초구,,아크로리버파크,71평,95억,2026.02.20
서초구,,트라움하우스,114평,69억,2026.02.20
서초구,,현대슈퍼빌,90평,41억,2026.02.20
서초구,,더미켈란,89평,40.75억,2026.02.20
용산구,효창동,브라운스톤,32평,17.4억,2026.02.23
